"Time";"Displacement"
"2020-12-01T19:09";8191
"2020-12-01T19:15";8191
"2020-12-01T19:20";8191
"2020-12-01T19:25";8191
"2020-12-01T19:30";8191
"2020-12-01T19:35";8191
"2020-12-01T19:40";8191
"2020-12-01T19:45";8191
"2020-12-01T19:50";8191
"2020-12-01T19:56";8191
"2020-12-01T20:01";8191
"2020-12-01T20:06";8191
"2020-12-01T20:11";8191
"2020-12-01T20:16";8191
"2020-12-01T20:21";8191
"2020-12-01T20:26";8191
"2020-12-01T20:31";8191
"2020-12-01T20:36";8191
"2020-12-01T20:41";8191
"2020-12-01T20:47";8191
"2020-12-01T20:52";8191
"2020-12-01T20:57";8191
"2020-12-01T21:02";8191
"2020-12-01T21:07";8191
"2020-12-01T21:12";8191
"2020-12-01T21:17";8191
"2020-12-01T21:22";8191
"2020-12-01T21:28";8191
"2020-12-01T21:33";8191
"2020-12-01T21:38";8191
"2020-12-01T21:43";8191
"2020-12-01T21:48";8191
"2020-12-01T21:53";8191
"2020-12-01T21:58";8191
"2020-12-01T22:03";8191
"2020-12-01T22:08";8191
"2020-12-01T22:14";8191
"2020-12-01T22:19";8191
"2020-12-01T22:24";8191
"2020-12-01T22:29";8191
"2020-12-01T22:34";8191
"2020-12-01T22:39";8191
"2020-12-01T22:44";8191
"2020-12-01T22:49";8191
"2020-12-01T22:55";8191
"2020-12-01T23:00";8191
"2020-12-01T23:05";8191
"2020-12-01T23:10";8191
"2020-12-01T23:15";8191
"2020-12-01T23:20";8191
"2020-12-01T23:25";8191
"2020-12-01T23:30";8191
"2020-12-01T23:36";8191
"2020-12-01T23:41";8191
"2020-12-01T23:46";8191
"2020-12-01T23:51";8191
"2020-12-01T23:56";8191
"2020-12-02T00:01";8191
"2020-12-02T00:06";8191
"2020-12-02T00:11";8191
"2020-12-02T00:17";8191
"2020-12-02T00:25";8191
"2020-12-02T00:30";8191
"2020-12-02T00:35";8191
"2020-12-02T00:41";8191
"2020-12-02T00:46";8191
"2020-12-02T00:51";8191
"2020-12-02T00:56";8191
"2020-12-02T01:01";8191
"2020-12-02T01:06";8191
"2020-12-02T01:11";8191
"2020-12-02T01:16";8191
"2020-12-02T01:22";8191
"2020-12-02T01:27";8191
"2020-12-02T01:32";8191
"2020-12-02T01:37";8191
"2020-12-02T01:42";8191
"2020-12-02T01:47";8191
"2020-12-02T01:52";8191
"2020-12-02T01:57";8191
"2020-12-02T02:02";8191
"2020-12-02T02:08";8191
"2020-12-02T02:13";8191
"2020-12-02T02:18";8191
"2020-12-02T02:23";8191
"2020-12-02T02:33";8191
"2020-12-02T02:38";8191
"2020-12-02T02:43";8191
"2020-12-02T02:48";8191
"2020-12-02T02:54";8191
"2020-12-02T02:59";8191
"2020-12-02T03:04";8191
"2020-12-02T03:09";8191
"2020-12-02T03:14";8191
"2020-12-02T03:19";8191
"2020-12-02T03:24";8191
"2020-12-02T03:29";8191
"2020-12-02T03:35";8191
"2020-12-02T03:40";8191
"2020-12-02T03:45";8191
"2020-12-02T03:50";8191
"2020-12-02T03:55";8191
"2020-12-02T04:00";8191
"2020-12-02T04:05";8191
"2020-12-02T04:10";8191
"2020-12-02T04:15";8191
"2020-12-02T04:21";8191
"2020-12-02T04:26";8191
"2020-12-02T04:31";8191
"2020-12-02T04:36";8191
"2020-12-02T04:41";8191
"2020-12-02T04:46";8191
"2020-12-02T04:51";8191
"2020-12-02T04:56";8191
"2020-12-02T05:01";8191
"2020-12-02T05:06";8191
"2020-12-02T05:12";8191
"2020-12-02T05:17";8191
"2020-12-02T05:22";8191
"2020-12-02T05:27";8191
"2020-12-02T05:32";8191
"2020-12-02T05:37";8191
"2020-12-02T05:42";8191
"2020-12-02T05:47";8191
"2020-12-02T05:53";8191
"2020-12-02T05:58";8191
"2020-12-02T06:03";8191
"2020-12-02T06:08";8191
"2020-12-02T06:13";8191
"2020-12-02T06:18";8191
"2020-12-02T06:23";8191
"2020-12-02T06:28";8191
"2020-12-02T06:33";8191
"2020-12-02T06:39";8191
"2020-12-02T06:44";8191
"2020-12-02T06:49";8191
"2020-12-02T06:54";8191
"2020-12-02T06:59";8191
"2020-12-02T07:04";8191
"2020-12-02T07:14";8191
"2020-12-02T07:20";8191
"2020-12-02T07:25";8191
"2020-12-02T07:30";8191
"2020-12-02T07:35";8191
"2020-12-02T07:40";8191
"2020-12-02T07:45";8191
"2020-12-02T07:50";8191
"2020-12-02T07:55";8191
"2020-12-02T08:00";8191
"2020-12-02T08:06";8191
"2020-12-02T08:11";8191
"2020-12-02T08:16";8191
"2020-12-02T08:21";8191
"2020-12-02T08:26";8191
"2020-12-02T08:31";8191
"2020-12-02T08:36";8191
"2020-12-02T08:41";8191
"2020-12-02T08:47";8191
"2020-12-02T08:52";8191
"2020-12-02T08:57";8191
"2020-12-02T09:02";8191
"2020-12-02T09:07";8191
"2020-12-02T09:12";8191
"2020-12-02T09:17";8191
"2020-12-02T09:23";8191
"2020-12-02T09:28";8191
"2020-12-02T09:33";8191
"2020-12-02T09:38";8191
"2020-12-02T09:43";8191
"2020-12-02T09:48";8191
"2020-12-02T09:53";8191
"2020-12-02T09:58";8191
"2020-12-02T10:03";8191
"2020-12-02T10:09";8191
"2020-12-02T10:14";8191
"2020-12-02T10:19";8191
"2020-12-02T10:24";8191
"2020-12-02T10:29";8191
"2020-12-02T10:34";8191
"2020-12-02T10:39";8191
"2020-12-02T10:44";8191
"2020-12-02T10:49";8191
"2020-12-02T10:55";8191
"2020-12-02T11:00";8191
"2020-12-02T11:05";8191
"2020-12-02T11:10";8191
"2020-12-02T11:15";8191
"2020-12-02T11:20";8191
"2020-12-02T11:25";8191
"2020-12-02T11:30";8191
"2020-12-02T11:36";8191
"2020-12-02T11:41";8191
"2020-12-02T11:46";8191
"2020-12-02T11:51";8191
"2020-12-02T11:56";8191
"2020-12-02T12:01";8191
"2020-12-02T12:06";8191
"2020-12-02T12:11";8191
"2020-12-02T12:16";8191
"2020-12-02T12:22";8191
"2020-12-02T12:30";8191
"2020-12-02T12:35";8191
"2020-12-02T12:40";8191
"2020-12-02T12:46";8191
"2020-12-02T12:51";8191
"2020-12-02T12:56";8191
"2020-12-02T13:01";8191
"2020-12-02T13:06";8191
"2020-12-02T13:11";8191
"2020-12-02T13:16";8191
"2020-12-02T13:21";8191
"2020-12-02T13:27";8191
"2020-12-02T13:32";8191
"2020-12-02T13:37";8191
"2020-12-02T13:42";8191
"2020-12-02T13:47";8191
"2020-12-02T13:52";8191
"2020-12-02T13:57";8191
"2020-12-02T14:02";8191
"2020-12-02T14:08";8191
"2020-12-02T14:13";8191
"2020-12-02T14:18";8191
"2020-12-02T14:23";8191
"2020-12-02T14:28";8191
"2020-12-02T14:33";8191
"2020-12-02T14:38";8191
"2020-12-02T14:43";8191
"2020-12-02T14:48";8191
"2020-12-02T14:54";8191
"2020-12-02T14:59";8191
"2020-12-02T15:04";8191
"2020-12-02T15:09";8191
"2020-12-02T15:14";8191
"2020-12-02T15:19";8191
"2020-12-02T15:24";8191
"2020-12-02T15:29";8191
"2020-12-02T15:35";8191
"2020-12-02T15:40";8191
"2020-12-02T15:45";8191
"2020-12-02T15:50";8191
"2020-12-02T15:55";8191
"2020-12-02T16:00";8191
"2020-12-02T16:05";8191
"2020-12-02T16:11";8191
"2020-12-02T16:16";8191
"2020-12-02T16:21";8191
"2020-12-02T16:26";8191
"2020-12-02T16:31";8191
"2020-12-02T16:36";8191
"2020-12-02T16:41";8191
"2020-12-02T16:46";8191
"2020-12-02T16:52";8191
"2020-12-02T16:57";8191
"2020-12-02T17:02";8191
"2020-12-02T17:07";8191
"2020-12-02T17:12";8191
"2020-12-02T17:17";8191
"2020-12-02T17:22";8191
"2020-12-02T17:27";8191
"2020-12-02T17:32";8191
"2020-12-02T17:38";8191
"2020-12-02T17:43";8191
"2020-12-02T17:48";8191
"2020-12-02T17:53";8191
"2020-12-02T17:58";8191
"2020-12-02T18:03";8191
"2020-12-02T18:08";8191
"2020-12-02T18:13";8191
"2020-12-02T18:19";8191
"2020-12-02T18:24";8191
"2020-12-02T18:29";8191
"2020-12-02T18:34";8191
"2020-12-02T18:39";8191
"2020-12-02T18:48";8191
"2020-12-02T18:53";8191
"2020-12-02T18:58";8191
"2020-12-02T19:03";8191
"2020-12-02T19:08";8191
"2020-12-02T19:13";8191
"2020-12-02T19:18";8191
"2020-12-02T19:23";8191
"2020-12-02T19:29";8191
"2020-12-02T19:34";8191
"2020-12-02T19:39";8191
"2020-12-02T19:44";8191
"2020-12-02T19:49";8191
"2020-12-02T19:54";8191
"2020-12-02T19:59";8191
"2020-12-02T20:04";8191
"2020-12-02T20:09";8191
"2020-12-02T20:20";8191
"2020-12-02T20:25";8191
"2020-12-02T20:30";8191
"2020-12-02T20:35";8191
"2020-12-02T20:40";8191
"2020-12-02T20:45";8191
"2020-12-02T20:51";8191
"2020-12-02T20:56";8191
"2020-12-02T21:01";8191
"2020-12-02T21:06";8191
"2020-12-02T21:11";8191
"2020-12-02T21:16";8191
"2020-12-02T21:21";8191
"2020-12-02T21:26";8191
"2020-12-02T21:35";8191
"2020-12-02T21:40";8191
"2020-12-02T21:45";8191
"2020-12-02T21:50";8191
"2020-12-02T21:55";8191
"2020-12-02T22:00";8191
"2020-12-02T22:06";8191
"2020-12-02T22:11";8191
"2020-12-02T22:16";8191
"2020-12-02T22:21";8191
"2020-12-02T22:26";8191
"2020-12-02T22:31";8191
"2020-12-02T22:36";8191
"2020-12-02T22:41";8191
"2020-12-02T22:46";8191
"2020-12-02T22:52";8191
"2020-12-02T22:57";8191
"2020-12-02T23:02";8191
"2020-12-02T23:07";8191
"2020-12-02T23:12";8191
"2020-12-02T23:17";8191
"2020-12-02T23:22";8191
"2020-12-02T23:27";8191
"2020-12-02T23:33";8191
"2020-12-02T23:38";8191
"2020-12-02T23:43";8191
"2020-12-02T23:48";8191
"2020-12-02T23:53";8191
"2020-12-02T23:58";8191
"2020-12-03T00:03";8191
